name,population,state,minimum_wage,avg_1bd_rent,monthly_pay,percent_income_to_rent,lon,lat
Seattle,776000,WA,16.69,1795,2670.4,67.22,-122.33173370361328,47.59944980678937
Spokane,228000,WA,13.69,1005,2190.4,45.88,-117.42187500000001,47.66168780332917
Portland,662000,OR,14.00,1495,2240,66.74,-122.67677307128908,45.51741391767134
Los Angeles,3984000,CA,15.00,2199,2400,91.63,-118.24962615966797,34.04085388744741
San Diego,1428000,CA,14.00,2195,2240,97.99,-117.16558456420898,32.71638840046425
Boise,229000,ID,7.25,1415,1160,121.98,-116.20376586914061,43.616566659161705
Meridian,129000,ID,7.25,1500,1160,129.31,-116.39293670654297,43.607742266333425
Las Vegas,667000,NV,8.75,1200,1400,85.71,-115.15594482421874,36.161716102717776
Henderson,341000,NV,8.75,1580,1400,112.86,-114.98497009277342,36.03632920165807
Salt Lake City,200000,UT,7.25,1200,1160,103.45,-111.88957214355469,40.76546147212545
West Valley City,134000,UT,7.25,1121,1160,96.64,-111.9898223876953,40.693134153308065
Phoenix,1734000,AZ,12.15,1250,1944,64.30,-112.06878662109374,33.445193134508465
Tucson,555000,AZ,12.15,855,1944,43.98,-110.928955078125,32.21280106801518
Billings,110000,MT,8.65,849,1384,61.34,-108.49822998046875,45.78428489134373
Missoula,77000,MT,8.65,1100,1384,79.48,-114.00100708007811,46.86770273172814
Cheyenne,65000,WY,7.25,775,1160,66.81,-104.8150634765625,41.13729606112276
Casper,59000,WY,7.25,675,1160,58.19,-106.31229400634766,42.86489285618648
Denver,749000,CO,12.32,1689,1971.2,85.68,-104.98260498046875,39.73570624505104
Colorado Springs,490000,CO,12.32,1210,1971.2,61.38,-104.81231689453125,38.832219591146746
Albuquerque,562000,NM,9.35,884,1496,59.10,-106.64978027343749,35.080584173400815
Las Cruces,105000,NM,10.25,800,1640,48.78,-106.78298950195312,32.30918809917144
Fargo,126000,ND,7.25,748,1160,64.48,-96.78955078125,46.875213396722685
Bismarck,74000,ND,7.25,787,1160,67.84,-100.78857421875,46.80945943904218
Sioux Falls,191000,SD,9.30,760,1488,51.08,-96.69891357421875,43.542077996722796
Rapid City,80000,SD,9.30,900,1488,60.48,-103.22753906249999,44.07969327425713
Omaha,480000,NE,9.00,850,1440,59.03,-95.93811035156249,41.261291493919884
Lincoln,293000,NE,9.00,917,1440,63.68,-96.668701171875,40.78054143186033
Wichita,391000,KS,7.25,615,1160,53.02,-97.33337402343749,37.6968609874419
Overland Park,210000,KS,7.25,999,1160,86.12,-94.68841552734375,38.966883415149596
Oklahoma City,669000,OK,7.25,789,1160,68.02,-97.52014160156249,35.460669951495305
Tulsa,403000,OK,7.25,750,1160,64.66,-95.99166870117186,36.15118243124803
Houston,2324000,TX,7.25,1149,1160,99.05,-95.361328125,29.7596087873038
San Antonio,1582000,TX,7.25,1095,1160,94.40,-98.4979248046875,29.42524498547202
Salem,177000,OR,12.00,1037,1920,54.01,-123.02490234375,44.941473354802504
Minneapolis,439000,MN,12.50,1254,2000,62.70,-93.26568603515625,44.97451370563983
St Paul,310000,MN,12.50,1151,2000,57.55,-93.07617187499999,44.94536144236941
Des Moines,205000,IA,7.25,873,1160,75.26,-93.603515625,41.590796851056005
Cedar Rapids,134000,IA,7.25,575,1160,49.57,-91.669921875,41.96765920367816
Kansas city,502000,MO,10.30,930,1648,56.43,-94.57717895507812,39.095962936305476
St. Louis,295000,MO,10.30,948,1648,57.52,-90.21148681640625,38.62223527691723
Little Rock,197000,AR,11.00,725,1760,41.19,-92.28515625,34.7506398050501
Fayetteville,90000,AR,11.00,760,1760,43.19,-94.15969848632811,36.06075649394557
New Orleans,388000,LA,7.25,1492,1160,128.62,-90.06591796875,29.945415337104453
Baton Rouge,216000,LA,7.25,825,1160,71.12,-91.1920166015625,30.44393799829119
Jackson,154000,MS,7.25,750,1160,64.66,-90.17578124999999,32.30570601389429
Gulfport,72000,MS,7.25,755,1160,65.09,-89.09912109375,30.38235321766959
Nashville,678000,TN,7.25,1550,1160,133.62,-86.77825927734375,36.153400163891945
Memphis,651000,TN,7.25,950,1160,81.90,-90.054931640625,35.14517852220059
Louisville,616000,KY,7.25,950,1160,81.90,-85.75927734375,38.238180119798635
Lexington,325000,KY,7.25,780,1160,67.24,-84.495849609375,38.039438891821746
Milwaukee,588000,WI,7.25,1195,1160,103.02,-87.9345703125,43.02071359427862
Madison,263000,WI,7.25,1115,1160,96.12,-89.384765625,43.068887774169625
Detroit,664000,MI,9.65,1079,1544,69.88,-83.056640625,42.35042512243457
Grand Rapids,203000,MI,9.65,1165,1544,75.45,-85.67138671875,42.96446257387128
Columbus,914000,OH,8.80,849,1408,60.30,-83.001708984375,39.96870074491696
Cleveland,377000,OH,8.80,1299,1408,92.26,-81.6943359375,41.50034959128928
Birmingham,207000,AL,7.25,1045,1160,90.09,-86.802978515625,33.52307880890422
Huntsville,205000,AL,7.25,775,1160,66.81,-86.60522460937499,34.732584206123626
Indianapolis,887000,IN,7.25,940,1160,81.03,-86.15753173828125,39.768436410838426
Fort Wayne,276000,IN,7.25,753,1160,64.91,-85.1385498046875,41.075210270566636
Jacksonville,930000,FL,10.00,1345,1600,84.06,-81.67236328125,30.334953881988564
Miami,478000,FL,10.00,2515,1600,157.19,-80.17822265625,25.780107118422244
Atlanta,524000,GA,7.25,1715,1160,147.85,-84.375,33.779147331286474
Augusta,200000,GA,7.25,896,1160,77.24,-81.968994140625,33.44977658311846
Charleston,140000,SC,7.25,1672,1160,144.14,-79.9365234375,32.7872745269555
Columbia,129000,SC,7.25,868,1160,74.83,-81.03858947753905,33.99916579100914
Charlotte,912000,NC,7.25,1399,1160,120.60,-80.848388671875,35.22767235493586
Raleigh,484000,NC,7.25,1183,1160,101.98,-78.64013671875,35.77325759103725
Virginia Beach,450000,VA,7.25,1305,1160,112.50,-75.970458984375,36.86204269508728
Chesapeake,250000,VA,7.25,1289,1160,111.12,-76.2451171875,36.71687068791304
Charleston,45000,WV,8.75,650,1400,46.43,-81.63940429687499,38.35888785866677
Huntington,44000,WV,8.75,625,1400,44.64,-82.44140625,38.41055825094609
Baltimore,576000,MD,11.75,1349,1880,71.76,-76.607666015625,39.29179704377487
Columbia,104000,MD,11.75,2094,1880,111.39,-76.85846328735352,39.21469931032406
Wilmington,70000,DE,9.25,1225,1480,82.77,-75.55572509765625,39.73887436009367
Dover,38000,DE,9.25,1300,1480,87.84,-75.52276611328125,39.142842478062505
Newark,283000,NJ,12.00,1350,1920,70.31,-74.17316436767578,40.734770989672406
Jersey City,259000,NJ,12.00,2023,1920,105.37,-74.07737731933594,40.727226245152764
Philadelphia,1585000,PA,7.25,1450,1160,125.00,-75.16845703124999,39.95606977009003
Pittsburgh,300000,PA,7.25,1229,1160,150.95,-79.9969482421875,40.451127265872316
New York City,8230000,NY,15.00,3188,2400,132.83,-73.9874267578125,40.730608477796636
Buffalo,254000,NY,13.20,1045,2112,49.48,-78.8818359375,42.88401467044253
Bridgeport,144000,CT,13.00,1225,2080,58.89,-73.212890625,41.17451935556443
New Haven,131000,CT,13.00,1990,2080,95.67,-72.9217529296875,41.31494988250965
Providence,181000,RI,11.50,1600,1840,86.96,-71.41387939453125,41.812267143599804
Cranston,82000,RI,11.50,1350,1840,73.37,-71.43722534179688,41.77438424721882
Boston,696000,MA,14.25,2600,2280,114.04,-71.05957031249999,42.34636533160187
Worcester,185000,MA,14.25,1350,2280,59.21,-71.80389404296875,42.259016415705766
Manchester,113000,NH,7.25,1395,1160,120.26,-71.4605712890625,42.99661231842139
Nashua,90000,NH,7.25,1658,1160,142.93,-71.466064453125,42.75911283724358
Burlington,43000,VT,11.75,1500,1880,79.79,-73.21220397949219,44.47225620242556
South Burlington,20000,VT,11.75,1775,1880,94.41,-73.17083358764648,44.46649861580936
Portland,66000,ME,12.15,1425,1944,73.30,-70.257568359375,43.6599240747891
Lewiston,36000,ME,12.00,825,1920,42.97,-70.213623046875,44.09547572946637
Chicago,2679000,IL,15.00,1530,2500,61.20,-87.615966796875,41.87774145109676
Aurora,195000,IL,11.00,1350,1760,76.70,-88.319091796875,41.75492216766298
Anchorage,283000,AK,10.34,1221,1654.4,73.80,-149.85351562499997,61.227957176677876
Juneau,32000,AK,10.34,1223,1654.4,73.92,-134.461669921875,58.29361377603351
Honolulu,341000,HI,10.10,1700,1616,105.20,-157.85156249999997,21.299610604945606
East Honolulu,48000,HI,10.10,2300,1616,142.33,-157.70135879516602,21.27833760146653