name,population,state,minimum_wage,z_min_wage,avg_1bed,z_1bed,avg_2bed,z_2bed,rent_comp,monthly_pay,percent_1bed,percent_2bed,z_percent_1bed,percent_score,affordability_nopercent_index,affordability_score,affordability_wpercent_score,affordability_wpercent_score,lon,lat
Spokane,228000,WA,13.69,1.641232171,1005,-0.483799338,1305,-0.266976316,-0.375387827,2190.4,45.88,59.58,-1.303073003,1,1.008,1,1.106564334,1,-117.421875,47.6616878
Lewiston,36000,ME,12,0.966288171,825,-0.864028482,1000,-0.799741145,-0.831884814,1920,42.97,52.08,-1.406424409,1,0.899,1,1.068199131,1,-70.21362305,44.09547573
Little Rock,197000,AR,11,0.566913023,725,-1.075266895,848,-1.065250175,-1.070258535,1760,41.19,48.18,-1.469642796,1,0.819,1,1.035604785,1,-92.28515625,34.75063981
Tucson,555000,AZ,12.15,1.026194443,855,-0.800656958,1129,-0.574407824,-0.687532391,1944,43.98,58.08,-1.370553303,1,0.857,1,1.028093379,1,-110.9289551,32.21280107
Buffalo,254000,NY,13.2,1.445538348,1045,-0.399303973,1195,-0.459121009,-0.429212491,2112,49.48,56.58,-1.175215593,1,0.937,1,1.016655477,1,-78.88183594,42.88401467
Fayetteville,90000,AR,11,0.566913023,760,-1.001333451,800,-1.149095132,-1.075214291,1760,43.19,45.45,-1.398610901,1,0.821,1,1.013579405,1,-94.15969849,36.06075649
Worcester,185000,MA,14.25,1.864882254,1350,0.244973188,1500,0.07364382,0.159308504,2280,59.21,65.79,-0.829645425,2,0.853,1,0.845073058,1,-71.80389404,42.25901642
Las Cruces,105000,NM,10.25,0.267381662,800,-0.916838085,900,-0.974418138,-0.945628112,1640,48.78,54.88,-1.200076756,1,0.607,1,0.804362177,1,-106.7829895,32.3091881
Chicago,2679000,IL,15,2.164413615,1530,0.625202332,1795,0.58894095,0.607071641,2500,61.2,71.80,-0.75896869,2,0.779,1,0.772103555,1,-87.6159668,41.87774145
Huntington,44000,WV,8.75,-0.33168106,625,-1.286505309,713,-1.301064116,-1.293784712,1400,44.64,50.93,-1.347112777,1,0.481,2,0.76973881,1,-82.44140625,38.41055825
Charleston,45000,WV,8.75,-0.33168106,650,-1.233695705,638,-1.43207186,-1.332883783,1400,46.43,45.57,-1.283539232,1,0.501,2,0.761580652,1,-81.6394043,38.35888786
Salem,177000,OR,12,0.966288171,1037,-0.416203046,1395,-0.109767022,-0.262985034,1920,54.01,72.66,-1.014328351,2,0.615,1,0.747867185,1,-123.0249023,44.94147335
St Paul,310000,MN,12.5,1.165975745,1151,-0.175391255,1369,-0.155183041,-0.165287148,2000,57.55,68.45,-0.888601898,2,0.666,1,0.73995493,1,-93.07617187,44.94536144
Bridgeport,144000,CT,13,1.365663319,1275,-0.019074829,1600,0.248320813,0.114622992,2080,58.89,76.92,-0.841010529,2,0.626,1,0.697350285,1,-73.21289063,41.17451936
Sioux Falls,191000,SD,9.3,-0.112024729,760,-1.001333451,895,-0.983151988,-0.99224272,1488,51.08,60.15,-1.118390077,2,0.44,2,0.666202689,1,-96.69891357,43.542078
Seattle,776000,WA,16.69,2.839357615,1795,1.184984127,2495,1.811679902,1.498332014,2670.4,67.22,93.43,-0.545162688,2,0.671,1,0.62872943,2,-122.3317337,47.59944981
Portland,662000,OR,14,1.765038467,1470,0.551268887,1725,0.466667055,0.508967971,2240,66.74,77.01,-0.562210342,2,0.628,1,0.606093613,2,-122.6767731,45.51741392
Colorado Springs,490000,CO,12.32,1.094088218,1210,-0.050760591,1525,0.117313069,0.033276239,1971.2,61.38,77.36,-0.75257582,2,0.53,1,0.6044626,2,-104.8123169,38.83221959
Kansas city,502000,MO,10.3,0.287350419,925,-0.642228148,1195,-0.459121009,-0.550674578,1648,56.43,72.51,-0.928379759,2,0.419,2,0.588801585,2,-94.57717896,39.09596294
St. Louis,295000,MO,10.3,0.287350419,948,-0.604205234,1250,-0.363048663,-0.483626948,1648,57.52,75.85,-0.889667376,2,0.385,2,0.553548248,2,-90.21148682,38.62223528
Minneapolis,439000,MN,12.5,1.165975745,1254,0.042184311,1780,0.562739401,0.302461856,2000,62.7,89.00,-0.705694769,2,0.432,2,0.523069553,2,-93.26568604,44.97451371
Phoenix,1734000,AZ,12.15,1.026194443,1250,0.033734775,1575,0.204651565,0.11919317,1944,64.3,81.02,-0.648869254,2,0.454,2,0.518623509,2,-112.0687866,33.44519313
Cedar Rapids,134000,IA,7.25,-0.930743782,575,-1.392124515,798,-1.152588671,-1.272356593,1160,49.57,68.79,-1.172019157,1,0.171,2,0.504543989,2,-91.66992188,41.9676592
Rapid City,80000,SD,9.3,-0.112024729,900,-0.705599672,950,-0.887079642,-0.796339657,1488,60.48,63.84,-0.784540172,2,0.342,2,0.489618367,2,-103.2275391,44.07969327
Albuquerque,562000,NM,9.35,-0.092055972,884,-0.739397818,1138,-0.558686895,-0.649042356,1496,59.1,76.07,-0.83355218,2,0.278,2,0.463512855,2,-106.6497803,35.08058417
Wichita,391000,KS,7.25,-0.930743782,615,-1.30762915,795,-1.157828981,-1.232729066,1160,53.02,68.53,-1.049489139,2,0.151,2,0.450491474,2,-97.33337402,37.69686099
Omaha,480000,NE,9,-0.231837273,850,-0.811218879,1090,-0.642531852,-0.726875365,1440,59.03,75.69,-0.836038296,2,0.248,2,0.443692129,2,-95.93811035,41.26129149
Baltimore,576000,MD,11.75,0.866444384,1349,0.242860804,1354,-0.18138459,0.030738107,1880,71.76,72.02,-0.383920287,3,0.418,2,0.406542188,2,-76.60766602,39.29179704
Columbus,914000,OH,8.8,-0.311712303,849,-0.813331263,1100,-0.625064152,-0.719197708,1408,60.3,78.13,-0.790933043,2,0.204,2,0.399472816,2,-83.00170898,39.96870074
Newark,283000,NJ,12,0.966288171,1350,0.244973188,1595,0.239586964,0.242280076,1920,70.31,83.07,-0.435418411,3,0.362,2,0.386475502,2,-74.17316437,40.73477099
Billings,110000,MT,8.65,-0.371618575,849,-0.813331263,1095,-0.633798002,-0.723564632,1384,61.34,79.12,-0.753996458,2,0.176,2,0.368647505,2,-108.49823,45.78428489
Lincoln,293000,NE,9,-0.231837273,917,-0.669689142,1079,-0.661746321,-0.665717731,1440,63.68,74.93,-0.670889141,2,0.217,2,0.368256533,2,-96.66870117,40.78054143
Casper,59000,WY,7.25,-0.930743782,675,-1.180886102,850,-1.061756635,-1.121321369,1160,58.19,73.28,-0.865871692,2,0.095,2,0.35214976,2,-106.312294,42.86489286
Detroit,664000,MI,9.65,0.027756573,1079,-0.327482912,1100,-0.625064152,-0.476273532,1544,69.88,71.24,-0.450690268,2,0.252,2,0.318240124,2,-83.05664063,42.35042512
Portland,66000,ME,12.15,1.026194443,1425,0.403401998,1715,0.449199356,0.426300677,1944,73.3,88.22,-0.329225728,3,0.3,2,0.309706498,2,-70.25756836,43.65992407
Jackson,154000,MS,7.25,-0.930743782,750,-1.022457292,821,-1.112412963,-1.067435128,1160,64.66,70.78,-0.636083513,2,0.068,2,0.25759162,2,-90.17578125,32.30570601
Fargo,126000,ND,7.25,-0.930743782,748,-1.02668206,875,-1.018087387,-1.022384723,1160,64.48,75.43,-0.642476383,2,0.046,2,0.244705775,2,-96.78955078,46.8752134
Tulsa,403000,OK,7.25,-0.930743782,750,-1.022457292,900,-0.974418138,-0.998437715,1160,64.66,77.59,-0.636083513,2,0.034,3,0.234592482,2,-95.9916687,36.15118243
Gulfport,72000,MS,7.25,-0.930743782,755,-1.011895371,885,-1.000619687,-1.006257529,1160,65.09,76.29,-0.620811655,2,0.038,2,0.232108467,2,-89.09912109,30.38235322
Fort Wayne,276000,IN,7.25,-0.930743782,753,-1.01612014,900,-0.974418138,-0.995269139,1160,64.91,77.59,-0.627204526,2,0.032,3,0.230576628,2,-85.1385498,41.07521027
Anchorage,283000,AK,10.34,0.303325425,1121,-0.027524365,1398,-0.104526713,-0.066025539,1654.4,73.8,84.50,-0.311467755,3,0.185,2,0.226939573,2,-149.8535156,61.22795718
Cranston,82000,RI,11.5,0.766600597,1350,0.244973188,1795,0.58894095,0.416957069,1840,73.37,97.55,-0.326739612,3,0.175,2,0.225461047,2,-71.43722534,41.77438425
Juneau,32000,AK,10.34,0.303325425,1223,-0.023299597,1475,0.029974572,0.003337488,1654.4,73.92,89.16,-0.307205841,3,0.15,2,0.202397926,2,-134.4616699,58.29361378
Aurora,195000,IL,11,0.566913023,1350,0.244973188,1540,0.143514618,0.194243903,1760,76.7,87.50,-0.208471507,3,0.186,2,0.193713542,2,-88.3190918,41.75492217
Cheyenne,65000,WY,7.25,-0.930743782,775,-0.969647689,938,-0.908040881,-0.938844285,1160,66.81,80.86,-0.559724226,2,0.004,3,0.18927491,2,-104.8150635,41.13729606
Grand Rapids,203000,MI,9.65,0.027756573,1165,-0.145817877,1229,-0.399730831,-0.272774354,1544,75.45,79.60,-0.252866441,3,0.15,2,0.184465789,2,-85.67138672,42.96446257
Huntsville,205000,AL,7.25,-0.930743782,775,-0.969647689,985,-0.825942694,-0.897795192,1160,66.81,84.91,-0.559724226,2,-0.016,3,0.175591879,2,-86.60522461,34.73258421
Bismarck,74000,ND,7.25,-0.930743782,787,-0.944299079,965,-0.860878093,-0.902588586,1160,67.84,83.19,-0.5231428,2,-0.014,3,0.164995868,2,-100.7885742,46.80945944
Lexington,325000,KY,7.25,-0.930743782,785,-0.959085768,1010,-0.782273446,-0.870679607,1160,67.24,87.07,-0.544452369,2,-0.03,3,0.161462731,2,-84.49584961,38.03943889
Oklahoma City,669000,OK,7.25,-0.930743782,789,-0.940074311,985,-0.825942694,-0.883008503,1160,68.02,84.91,-0.51674993,2,-0.024,3,0.156338217,2,-97.5201416,35.46066995
Burlington,43000,VT,11.75,0.866444384,1500,0.561830808,1800,0.5976748,0.579752804,1880,79.79,95.74,-0.09872723,3,0.143,2,0.128472937,3,-73.21220398,44.4722562
Baton Rouge,216000,LA,7.25,-0.930743782,825,-0.864028482,983,-0.829436234,-0.846732358,1160,71.12,84.74,-0.406650493,3,-0.042,3,0.107546356,3,-91.1920166,30.443938
Des Moines,205000,IA,7.25,-0.930743782,873,-0.762634044,900,-0.974418138,-0.868526091,1160,75.26,77.59,-0.259614471,3,-0.031,3,0.065798927,3,-93.60351563,41.59079685
Columbia,129000,SC,7.25,-0.930743782,868,-0.773195964,1000,-0.799741145,-0.786468555,1160,74.83,86.21,-0.274886329,3,-0.072,3,0.043537034,3,-81.03858948,33.99916579
South Burlington,20000,VT,11.75,0.866444384,1775,1.142736445,1200,-0.450387159,0.346174643,1880,94.41,63.83,0.420515919,3,0.26,2,0.033251274,3,-73.17083359,44.46649862
Augusta,200000,GA,7.25,-0.930743782,896,-0.714049209,1000,-0.799741145,-0.756895177,1160,77.24,86.21,-0.189292896,3,-0.087,3,0.005148097,3,-81.96899414,33.44977658
Missoula,77000,MT,8.65,-0.371618575,1100,-0.283122845,1375,-0.144702421,-0.213912633,1384,79.48,99.35,-0.109737174,3,-0.079,3,-0.015989589,3,-114.0010071,46.86770273
Jacksonville,930000,FL,10,0.167537875,1345,0.234411267,1524,0.115566299,0.174988783,1600,84.06,95.25,0.052925865,3,-0.004,3,-0.020125591,3,-81.67236328,30.33495388
Memphis,651000,TN,7.25,-0.930743782,950,-0.599980465,970,-0.852144243,-0.726062354,1160,81.9,83.62,-0.023788581,3,-0.102,3,-0.060297616,3,-90.05493164,35.14517852
Indianapolis,887000,IN,7.25,-0.930743782,940,-0.621104307,1025,-0.756071897,-0.688588102,1160,81.03,88.36,-0.054687456,3,-0.121,3,-0.062489408,3,-86.15753174,39.76843641
Denver,749000,CO,12.32,1.094088218,1689,0.961071409,2250,1.383721269,1.172396339,1971.2,85.68,114.14,0.110461699,3,-0.039,3,-0.062923273,3,-104.982605,39.73570625
Providence,181000,RI,11.5,0.766600597,1600,0.773069221,1950,0.859690289,0.816379755,1840,86.96,105.98,0.155922112,3,-0.025,3,-0.06856709,3,-71.41387939,41.81226714
Louisville,616000,KY,7.25,-0.930743782,954,-0.599980465,1075,-0.6687334,-0.634356933,1160,81.9,92.67,-0.023788581,3,-0.148,3,-0.090866089,3,-85.75927734,38.23818012
Wilmington,70000,DE,9.25,-0.131993486,1225,-0.019074829,1667,0.365354399,0.173139785,1480,82.77,112.64,0.007110293,3,-0.153,3,-0.104081188,3,-75.5557251,39.73887436
Las Vegas,667000,NV,8.75,-0.33168106,1200,-0.071884432,1475,0.029974572,-0.02095493,1400,85.71,105.36,0.111527178,3,-0.155,3,-0.140751103,3,-115.1559448,36.1617161
Dover,38000,DE,9.25,-0.131993486,1240,0.139353981,1510,0.09111152,0.11523275,1480,87.84,102.03,0.187176145,3,-0.124,3,-0.144800794,3,-75.52276611,39.14284248
New Haven,131000,CT,13,1.365663319,1990,1.596899033,2098,1.118212239,1.357555636,2080,95.67,100.87,0.465266013,3,0.004,3,-0.15238611,3,-72.92175293,41.31494988
Los Angeles,3984000,CA,15,2.164413615,2199,2.038387317,2995,2.685064868,2.361726092,2400,91.63,124.79,0.321781586,3,-0.099,3,-0.173031354,3,-118.2496262,34.04085389
Birmingham,207000,AL,7.25,-0.930743782,1045,-0.399303973,950,-0.887079642,-0.643191807,1160,90.09,81.90,0.267087027,3,-0.144,3,-0.184879667,3,-86.80297852,33.52307881
Cleveland,377000,OH,8.8,-0.311712303,1299,0.137241597,1400,-0.101033173,0.018104212,1408,92.26,99.43,0.344156632,3,-0.165,3,-0.224657716,3,-81.69433594,41.50034959
Overland Park,210000,KS,7.25,-0.930743782,999,-0.496473643,1450,-0.013694676,-0.25508416,1160,86.12,125.00,0.126088716,3,-0.338,3,-0.267249446,3,-94.68841553,38.96688342
San Diego,1428000,CA,14,1.765038467,2195,2.029937781,2799,2.342697961,2.186317871,2240,97.99,124.96,0.54766301,3,-0.211,3,-0.322980805,3,-117.1655846,32.7163884
West Valley City,134000,UT,7.25,-0.930743782,1121,-0.238762779,1300,-0.275710166,-0.257236472,1160,96.64,112.07,0.499716482,3,-0.337,3,-0.391074597,3,-111.9898224,40.69313415
San Antonio,1582000,TX,7.25,-0.930743782,1134,-0.293684766,1450,-0.013694676,-0.153689721,1160,94.4,125.00,0.42016076,3,-0.389,3,-0.399071607,3,-98.4979248,29.42524499
Jersey City,259000,NJ,12,0.966288171,2023,1.66660771,2099,1.119959009,1.39328336,1920,105.37,109.32,0.809770701,3,-0.213,3,-0.412255297,3,-74.07737732,40.72722625
Madison,263000,WI,7.25,-0.930743782,1115,-0.251437083,1515,0.099845369,-0.075795857,1160,96.12,130.60,0.481248189,3,-0.427,3,-0.445398705,3,-89.38476563,43.06888777
Milwaukee,588000,WI,7.25,-0.930743782,1195,-0.082446353,1149,-0.539472426,-0.310959389,1160,103.02,99.05,0.726308225,3,-0.31,3,-0.448697539,3,-87.93457031,43.02071359
Houston,2324000,TX,7.25,-0.930743782,1149,-0.179616023,1474,0.028227802,-0.07569411,1160,99.05,127.07,0.585309914,3,-0.428,3,-0.480119862,3,-95.36132813,29.75960879
Raleigh,484000,NC,7.25,-0.930743782,1183,-0.107794962,1445,-0.022428526,-0.065111744,1160,101.98,124.57,0.68937164,3,-0.433,3,-0.518334559,3,-78.64013672,35.77325759
Columbia,104000,MD,11.75,0.866444384,2124,1.816586983,2080,1.08677038,1.451678682,1880,111.39,110.64,1.023576704,3,-0.293,3,-0.536270334,3,-76.85846329,39.21469931
Salt Lake City,200000,UT,7.25,-0.930743782,1200,-0.071884432,1475,0.029974572,-0.02095493,1160,103.45,127.16,0.741580083,3,-0.455,4,-0.550456312,3,-111.8895721,40.76546147
Honolulu,341000,HI,10.1,0.207475389,1700,0.984307635,2300,1.471059765,1.2276837,1616,105.2,142.33,0.80373299,3,-0.51,4,-0.607980434,3,-157.8515625,21.2996106
Henderson,341000,NV,8.75,-0.33168106,1580,0.730821539,1700,0.422997807,0.576909673,1400,112.86,121.43,1.075785147,3,-0.454,4,-0.661458627,3,-114.9849701,36.0363292
Chesapeake,250000,VA,7.25,-0.930743782,1250,0.116117756,1460,0.003773023,0.05994539,1160,111.12,125.86,1.013987398,3,-0.495,4,-0.668225523,3,-76.24511719,36.71687069
Virginia Beach,450000,VA,7.25,-0.930743782,1305,0.149915902,1400,-0.101033173,0.024441365,1160,112.5,120.69,1.062999405,3,-0.478,4,-0.672728184,3,-75.97045898,36.8620427
Boston,696000,MA,14.25,1.864882254,2600,2.885453355,3000,2.693798717,2.789626036,2280,114.04,131.58,1.117693964,3,-0.462,4,-0.680812582,3,-71.05957031,42.34636533
Boise,229000,ID,7.25,-0.930743782,1415,0.382278157,1415,-0.074831624,0.153723267,1160,121.98,121.98,1.399690586,3,-0.542,4,-0.828052545,3,-116.2037659,43.61656666
Charlotte,912000,NC,7.25,-0.930743782,1399,0.34848001,1599,0.246574043,0.297527027,1160,120.6,137.84,1.350678579,3,-0.614,4,-0.859649796,3,-80.84838867,35.22767235
Manchester,113000,NH,7.25,-0.930743782,1395,0.340030474,1675,0.379328558,0.359679516,1160,120.26,144.40,1.338603156,3,-0.645,4,-0.876342151,3,-71.46057129,42.99661232
Philadelphia,1585000,PA,7.25,-0.930743782,1450,0.456211601,1700,0.422997807,0.439604704,1160,125,146.55,1.506948747,4,-0.685,4,-0.959099078,4,-75.16845703,39.95606977
Meridian,129000,ID,7.25,-0.930743782,1505,0.561830808,1665,0.361860859,0.461845833,1160,129.31,143.53,1.660022479,4,-0.696,4,-1.017537365,4,-116.3929367,43.60774227
New Orleans,388000,LA,7.25,-0.930743782,1485,0.544931735,1895,0.763617943,0.654274839,1160,128.62,163.36,1.635516476,4,-0.793,4,-1.073511699,4,-90.06591797,29.94541534
Nashville,678000,TN,7.25,-0.930743782,1550,0.667450015,1650,0.33565931,0.501554662,1160,133.62,142.24,1.813096212,4,-0.716,4,-1.081798219,4,-86.77825928,36.15340016
Pittsburgh,300000,PA,7.25,-0.930743782,1229,-0.010625292,1400,-0.101033173,-0.055829232,1160,150.95,120.69,2.428587579,4,-0.437,3,-1.101167376,4,-79.99694824,40.45112727
New York City,8230000,NY,15,2.164413615,3188,4.127535225,3500,3.567183683,3.847359454,2400,132.83,145.83,1.785038614,4,-0.841,4,-1.155994818,4,-73.98742676,40.73060848
Charleston,140000,SC,7.25,-0.930743782,1672,0.925160879,1700,0.422997807,0.674079343,1160,144.14,146.55,2.186723978,4,-0.802,4,-1.263849034,4,-79.93652344,32.78727453
Nashua,90000,NH,7.25,-0.930743782,1658,0.895587501,1980,0.912093387,0.903840444,1160,142.93,170.69,2.143749681,4,-0.917,4,-1.326111302,4,-71.46606445,42.75911284
East Honolulu,48000,HI,10.1,0.207475389,2250,2.251738115,2825,2.388113979,2.319926047,1616,142.33,174.81,2.122440113,4,-1.056,5,-1.411630257,4,-157.7013588,21.2783376
Atlanta,524000,GA,7.25,-0.930743782,1715,1.015993397,2200,1.296382772,1.156188085,1160,147.85,189.66,2.318488142,4,-1.043,5,-1.468473336,4,-84.375,33.77914733
Miami,478000,FL,10,0.167537875,2515,2.705900703,3350,3.305168193,3.005534448,1600,157.19,209.38,2.65020709,4,-1.419,5,-1.829401221,4,-80.17822266,25.78010712
